timestamp,x,y,z,yaw,yawspeed,vx,vy,vz,acceleration[0],acceleration[1],acceleration[2],jerk[0],jerk[1],jerk[2],thrust[0],thrust[1],thrust[2]
529647289,8.438037,-1.3127794,nan,0.2532543,0.0,0.064271875,0.09794687,-1.5,0.40588212,0.51654917,-0.30592203,0.0,0.0,0.0,0.021728862,0.027653411,-0.5249949
529746280,8.438037,-1.3127794,nan,0.2532543,0.0,0.0800941,0.10364646,-1.5,0.4801827,0.48786855,-0.017027259,0.0,0.0,0.0,0.024972372,0.02537208,-0.50999695
529845487,8.438037,-1.3127794,nan,0.2532543,0.0,0.096985385,0.11004434,-1.5,0.50652164,0.55580515,-0.07039237,0.0,0.0,0.0,0.026484944,0.029061873,-0.5127674
529944709,8.438037,-1.3127794,nan,0.2532543,0.0,0.10799227,0.12117488,-1.5,0.46918127,0.644943,-0.28499877,0.0,0.0,0.0,0.025065556,0.03445546,-0.5239087
530044259,8.438037,-1.3127794,nan,0.2532543,0.0,0.11188531,0.13671783,-1.5,0.496782,0.5699858,-0.4412532,0.0,0.0,0.0,0.026950896,0.030922271,-0.5320206
530148232,8.438037,-1.3127794,nan,0.2532543,0.0,0.11693621,0.1502386,-1.5,0.4930662,0.54176474,-0.54112303,0.0,0.0,0.0,0.027009789,0.029677456,-0.5372054
530247084,8.438037,-1.3127794,nan,0.2532543,0.0,0.12174068,0.15940927,-1.5,0.49364167,0.50230974,-0.72002697,0.0,0.0,0.0,0.027508916,0.02799196,-0.54649323
530346108,8.438037,-1.3127794,nan,0.2532543,0.0,0.12879924,0.16305746,-1.5,0.461873,0.42648837,-1.032788,0.0,0.0,0.0,0.026503554,0.024473086,-0.5627302
530445425,8.438037,-1.3127794,nan,0.2532543,0.0,0.13606982,0.16203925,-1.5,0.43450677,0.345151,-1.103355,0.0,0.0,0.0,0.025094971,0.019934226,-0.56639373
530544962,8.438037,-1.3127794,nan,0.2532543,0.0,0.1443696,0.16249259,-1.5,0.40144017,0.3480966,-1.2194673,0.0,0.0,0.0,0.023432761,0.020319007,-0.57242167
530644051,8.438037,-1.3127794,nan,0.2532543,0.0,0.15390787,0.16585414,-1.5,0.37311646,0.35134777,-1.3389752,0.0,0.0,0.0,0.022015058,0.020730637,-0.578626
530747876,8.438037,-1.3127794,nan,0.2532543,0.0,0.15728994,0.16960551,-1.5,0.35475528,0.34248036,-1.3340681,0.0,0.0,0.0,0.020922817,0.020198863,-0.57837117
530846699,8.438037,-1.3127794,nan,0.2532543,0.0,0.1558168,0.17369278,-1.5,0.32619584,0.34176052,-1.3685387,0.0,0.0,0.0,0.019297982,0.0202188,-0.58016074
530946001,8.438037,-1.3127794,nan,0.2532543,0.0,0.15336336,0.1721346,-1.4996593,0.3086638,0.34678072,-1.1883631,0.0,0.0,0.0,0.017965922,0.020184536,-0.5708069
531045080,8.438037,-1.3127794,nan,0.2532543,0.0,0.1502522,0.16534363,-1.4532042,0.28595257,0.35358006,-0.35214055,0.0,0.0,0.0,0.015378171,0.019015092,-0.52739435
531144619,8.438037,-1.3127794,nan,0.2995625,0.0,0.14692268,0.1592873,-1.3122982,0.2931253,0.22597383,0.78827345,0.0,0.0,0.0,0.013994339,0.010788405,-0.4681897
531248315,8.438037,-1.3127794,nan,0.2995625,0.0,0.14398183,0.15427445,-1.0895704,0.2724618,0.24413005,1.7546079,0.0,0.0,0.0,0.0116146775,0.010406933,-0.41802236
531347563,8.438037,-1.3127794,nan,0.2995625,0.0,0.14400358,0.14620537,-0.8039942,0.32138652,0.20254248,2.1786878,0.0,0.0,0.0,0.012977649,0.008178704,-0.39600623
531446392,8.438037,-1.3127794,nan,0.2995625,0.0,0.14859332,0.13550131,-0.5337239,0.39403015,0.25793377,2.1728806,0.0,0.0,0.0,0.01592338,0.010423511,-0.3963077
531545598,8.438037,-1.3127794,nan,0.2995625,0.0,0.15380368,0.12448843,-0.26967737,0.43656644,0.16945677,1.5366474,0.0,0.0,0.0,0.01911268,0.00741874,-0.4293378
531645163,8.438037,-1.3127794,nan,0.2995625,0.0,0.1600233,0.112524144,-0.0837952,0.47884297,0.110416904,0.36380565,0.0,0.0,0.0,0.023936898,0.0055196346,-0.49022597
531744355,8.438037,-1.3127794,nan,0.2995625,0.0,0.17061433,0.0980087,0.02975439,0.5610795,0.056765936,-0.70885557,0.0,0.0,0.0,0.031233829,0.0031600113,-0.5459132
531847969,8.438037,-1.3127794,nan,0.2995625,0.0,0.18445154,0.080780156,0.035269275,0.6300519,0.07718822,-1.7100886,0.0,0.0,0.0,0.038413286,0.004706046,-0.59789234
531947046,8.438037,-1.3127794,-3.4944882,0.2995625,0.0,0.19957432,0.06525193,-0.00156375,0.68079126,0.036010254,-1.5452172,0.0,0.0,0.0,0.040912207,0.0021640393,-0.589333
532046142,8.438037,-1.3127794,-3.4944756,0.2995625,0.0,0.21417527,0.05133422,-0.012965442,0.64573115,0.06494993,-1.0595964,0.0,0.0,0.0,0.03714508,0.003736184,-0.56412196
532145783,8.438037,-1.3127794,-3.4944756,0.2995625,0.0,0.22492847,0.037659198,-0.016402962,0.6496074,0.057870083,-0.86130995,0.0,0.0,0.0,0.036686797,0.0032682326,-0.55382794
532245148,8.438037,-1.3127794,-3.4944756,0.2995625,0.0,0.23239836,0.024820859,-0.021055223,0.65576583,0.03241308,-0.7487065,0.0,0.0,0.0,0.03664348,0.0018112075,-0.5479821
532348656,8.438037,-1.3127794,-3.4944756,0.2995625,0.0,0.23948503,0.011912304,-0.022195103,0.70954764,0.06263878,-0.4694184,0.0,0.0,0.0,0.038599133,0.003407527,-0.53348285
532447610,8.438037,-1.3127794,-3.4944756,0.2995625,0.0,0.246347,-0.00035435558,-0.01947427,0.6886541,0.023521563,-0.3794474,0.0,0.0,0.0,0.037135202,0.0012683844,-0.528812
532546820,8.438037,-1.3127794,-3.4944756,0.2995625,0.0,0.25219697,-0.013484198,-0.023797037,0.6757406,-0.06930293,-0.46370915,0.0,0.0,0.0,0.036739238,-0.0037679202,-0.53318644
532645932,8.438037,-1.3127794,-3.4944756,0.2995625,0.0,0.25660732,-0.027396023,-0.02390504,0.6566984,-0.05907565,-0.43835783,0.0,0.0,0.0,0.035616476,-0.0032040076,-0.5318703
532745581,8.438037,-1.3127794,-3.4944756,0.2995625,0.0,0.26040617,-0.040926877,-0.019730808,0.6603843,-0.050725177,-0.3081871,0.0,0.0,0.0,0.03536078,-0.0027161182,-0.5251125
532844716,8.438037,-1.3127794,-3.4944756,0.2995625,0.0,0.26433182,-0.0528667,-0.016064169,0.6293125,-0.089630574,-0.3882125,0.0,0.0,0.0,0.033964243,-0.004837397,-0.529267
