timestamp,roll_body,pitch_body,yaw_body,yaw_sp_move_rate,q_d[0],q_d[1],q_d[2],q_d[3],thrust_body[0],thrust_body[1],thrust_body[2],roll_reset_integral,pitch_reset_integral,yaw_reset_integral,fw_control_yaw,apply_flaps
527744156,-0.012562302,0.0019286057,0.25325426,0.0,0.9919727,-0.0063525955,0.00016332832,0.12629247,0.0,0.0,-0.08318736,0,0,0,0,0
527793688,-0.008103348,0.002047651,0.25325432,0.0,0.9919843,-0.004148518,0.0005039394,0.12629205,0.0,0.0,-0.09367073,0,0,0,0,0
527848167,0.0021401886,-0.005139468,0.25325432,0.0,0.9919893,0.0013860515,-0.002414014,0.12629129,0.0,0.0,-0.10336646,0,0,0,0,0
527897797,-0.00017504771,0.002203847,0.2532543,0.0,0.9919929,-0.00022598384,0.0010820474,0.12628904,0.0,0.0,-0.11987562,0,0,0,0,0
527947368,-0.004527636,0.00035178874,0.25325426,0.0,0.99199086,-0.002267904,-0.000111409485,0.12628908,0.0,0.0,-0.11917202,0,0,0,0,0
527996962,-0.0071625873,0.0009546044,0.2532543,0.0,0.9919868,-0.0036128892,2.1200587e-05,0.12628992,0.0,0.0,-0.14044686,0,0,0,0,0
528046400,-0.007782484,0.00076656276,0.2532543,0.0,0.99198574,-0.0039084805,-0.00011121011,0.12628955,0.0,0.0,-0.15463911,0,0,0,0,0
528095958,-0.00644141,0.00033530197,0.2532543,0.0,0.9919883,-0.003216085,-0.00024043117,0.12628889,0.0,0.0,-0.16680622,0,0,0,0,0
528145590,-0.0022921148,0.001920136,0.2532543,0.0,0.99199224,-0.0012581266,0.000807646,0.12628998,0.0,0.0,-0.18070823,0,0,0,0,0
528195022,0.0015180667,0.00044594854,0.2532543,0.0,0.9919932,0.0007247968,0.00031704648,0.12628883,0.0,0.0,-0.1992811,0,0,0,0,0
528244636,-0.003449171,0.0006178925,0.2532543,0.0,0.99199194,-0.0017497931,8.8676075e-05,0.12628937,0.0,0.0,-0.21068493,0,0,0,0,0
528294223,-0.0046890737,0.0023810177,0.25325432,0.0,0.99198973,-0.0024761092,0.0008848846,0.12629138,0.0,0.0,-0.22567381,0,0,0,0,0
528343906,0.0022714648,0.0019749347,0.2532543,0.0,0.99199253,0.0010019323,0.0011229909,0.12628779,0.0,0.0,-0.24043274,0,0,0,0,0
528398320,0.0045673074,-0.0014653185,0.2532543,0.0,0.99199045,0.0023578934,-0.0004383911,0.1262903,0.0,0.0,-0.25181192,0,0,0,0,0
528447897,0.0021912782,0.001076462,0.2532543,0.0,0.99199283,0.0010188937,0.0006722884,0.12628834,0.0,0.0,-0.27683637,0,0,0,0,0
528497675,0.0009990614,-0.0024076567,0.2532543,0.0,0.9919926,0.00064756104,-0.0011311042,0.12628952,0.0,0.0,-0.29162115,0,0,0,0,0
528547182,0.0021037092,-0.003780254,0.2532543,0.0,0.9919909,0.0012821326,-0.0017421539,0.12629068,0.0,0.0,-0.3053258,0,0,0,0,0
528596857,-0.005096825,-0.00010029418,0.2532543,0.0,0.99199027,-0.002521673,-0.0003715816,0.12628849,0.0,0.0,-0.33467636,0,0,0,0,0
528646112,0.007597213,-0.0018858127,0.25325432,0.0,0.99198544,0.0038872599,-0.00045562905,0.12629163,0.0,0.0,-0.334385,0,0,0,0,0
528695752,0.0007524522,-0.006525929,0.2532543,0.0,0.99198806,0.0007852876,-0.0031893204,0.12628959,0.0,0.0,-0.3636351,0,0,0,0,0
528745292,0.0026428695,-0.001634383,0.2532543,0.0,0.9919922,0.0014140562,-0.00064376526,0.12628996,0.0,0.0,-0.3896487,0,0,0,0,0
528794782,0.005658539,-0.010616211,0.2532543,0.0,0.9919737,0.0034769229,-0.00490826,0.12630162,0.0,0.0,-0.4044672,0,0,0,0,0
528844408,0.007333949,-0.010041488,0.25325432,0.0,0.99197197,0.0042716186,-0.004517399,0.12630486,0.0,0.0,-0.41280276,0,0,0,0,0
528898637,0.0139507605,-0.016328871,0.25325432,0.0,0.9919291,0.007950286,-0.0072179013,0.12633824,0.0,0.0,-0.43202958,0,0,0,0,0
528944116,0.01249665,-0.017490644,0.2532543,0.0,0.9919293,0.007302423,-0.007885964,0.12633595,0.0,0.0,-0.46749735,0,0,0,0,0
528998064,0.01381802,-0.017580291,0.2532543,0.0,0.9919238,0.007963432,-0.007846956,0.12634139,0.0,0.0,-0.49036452,0,0,0,0,0
529047851,0.019316468,-0.022021465,0.25325432,0.0,0.9918737,0.010970618,-0.009702208,0.12638098,0.0,0.0,-0.49499884,0,0,0,0,0
529097306,0.02537201,-0.026718626,0.25325432,0.0,0.99180377,0.014269923,-0.011648973,0.12643571,0.0,0.0,-0.50329465,0,0,0,0,0
529146742,0.020929717,-0.030443821,0.25325432,0.0,0.9918041,0.012301858,-0.013777206,0.12642549,0.0,0.0,-0.506113,0,0,0,0,0
529196237,0.028199185,-0.026266411,0.25325432,0.0,0.99178594,0.015643401,-0.011245974,0.12644926,0.0,0.0,-0.51722085,0,0,0,0,0
529245794,0.025267089,-0.031274907,0.25325432,0.0,0.9917681,0.014505127,-0.013915139,0.12645946,0.0,0.0,-0.52264,0,0,0,0,0
529295458,0.021950696,-0.036000673,0.2532543,0.0,0.9917481,0.013158478,-0.016468365,0.12645693,0.0,0.0,-0.5351658,0,0,0,0,0
