timestamp,gyro_rad[0],gyro_rad[1],gyro_rad[2],gyro_integral_dt,accelerometer_timestamp_relative,accelerometer_m_s2[0],accelerometer_m_s2[1],accelerometer_m_s2[2],accelerometer_integral_dt,accelerometer_clipping
523774409,-6.0230497e-05,-0.12789318,0.017994829,4508,0,0.3482799,-1.1338531,-8.709547,4508,0
523778919,0.041631423,0.043220084,-0.10426188,4510,0,-0.6358966,-0.7032802,-12.011737,4510,0
523783428,-0.10295814,-0.031630315,0.046371296,4509,0,-0.3116874,1.0005145,-8.548762,4509,0
523787952,0.11780013,-0.07271205,0.00081803463,4524,0,-0.6321442,-1.0065398,-10.179645,4524,0
523792447,0.004156143,0.15144697,-0.08152597,4495,0,-0.29708254,-0.6791814,-10.245395,4495,0
523796957,-0.06803313,-0.06615294,0.06416179,4510,0,0.5376442,0.90329576,-7.2134695,4510,0
523801467,0.14482048,-0.027497128,0.0013961066,4510,0,-0.52581894,-1.3636612,-11.517984,4510,0
523805979,-0.17744522,0.042794205,-0.02110528,4512,0,-0.25354496,-0.11048076,-10.667546,4512,0
523810486,0.04124137,-0.067211315,0.077980675,4507,0,-0.31749168,0.09152813,-9.873585,4507,0
523814995,0.032131575,0.010657869,-0.024350267,4509,0,-0.5001815,-1.4826732,-10.425286,4509,0
523819512,-0.12822029,-0.06307098,-0.0020308013,4517,0,-0.009556078,-0.18576157,-9.365855,4517,0
523824014,0.15678033,0.088546544,-0.011507545,4502,0,-0.72464174,-0.64558774,-10.85378,4502,0
523828524,-0.07809342,0.08144787,-0.03867308,4510,0,-0.38008174,-0.5263295,-7.492801,4510,0
523833033,0.02700341,-0.17306194,0.020198345,4509,0,0.1507926,0.23935792,-9.142326,4509,0
523837545,0.08901743,0.09942311,-0.055687815,4512,0,-0.121034354,-1.0373526,-13.092776,4512,0
523842052,-0.15918773,-0.046681773,-0.0007864386,4507,0,0.4240258,0.4947138,-8.590139,4507,0
523846562,0.10481986,-0.043882567,0.008378349,4510,0,-0.92602664,-0.54157525,-11.267281,4510,0
523851075,-0.030683469,0.0008883392,-0.01633011,4513,0,-0.6620177,-0.32930294,-9.184175,4513,0
523855581,-0.0642327,-0.06500295,0.07687509,4506,0,-0.4609007,0.20307904,-9.743523,4506,0
523860091,0.15742725,0.20825015,-0.00064996997,4510,0,-0.91331553,-1.376329,-10.2812805,4510,0
523864600,-0.18349928,-0.14073765,0.030298209,4509,0,0.8313444,0.03844447,-6.0468225,4509,0
523869110,0.12966879,0.0009324159,0.0116801215,4510,0,0.16518018,-0.8718119,-13.587966,4510,0
523873619,-0.043226074,0.072888084,-0.04576089,4509,0,0.3260795,-0.7832766,-9.701039,4509,0
523878129,-0.15094501,-0.13186851,-0.009369208,4510,0,-0.40148437,-0.5113642,-10.319791,4510,0
523882641,0.25422361,0.08606414,-0.08212289,4512,0,-1.2841809,-0.7619692,-10.602262,4512,0
523887148,-0.22478865,-0.15091647,0.0108095165,4507,0,-0.6858357,0.6559004,-7.671993,4507,0
523891667,0.21081649,0.19764194,0.008001169,4519,0,-1.4103789,-0.19689412,-13.06164,4519,0
523896167,-0.07487181,-0.014420554,-0.02242866,4500,0,0.57888377,-0.17944023,-4.609703,4500,0
523900679,-0.061144467,-0.22256708,0.05676654,4512,0,0.96627814,0.036369175,-11.605172,4512,0
523905186,0.1759507,0.23253329,-0.017736318,4507,0,0.6697964,-1.188263,-13.325503,4507,0
523909696,-0.3412626,-0.120634824,0.022746727,4510,0,-0.020733817,-0.594266,-7.280767,4510,0
523914210,0.2609541,-0.02544282,0.021330323,4514,0,-1.5671182,-0.24508685,-11.724121,4514,0
523918715,-0.11493249,-0.045879953,0.010142695,4505,0,-1.0570432,-0.49735188,-9.031216,4505,0
523923225,0.013149449,0.15886165,0.01562934,4510,0,-1.1848801,-0.5252315,-11.523806,4510,0
523927745,0.09583757,0.005657185,-0.04830637,4520,0,0.37706757,-0.9487413,-5.1146884,4520,0
523932244,-0.13892657,-0.23916979,-0.015126651,4499,0,0.67768437,-0.27869153,-11.13331,4499,0
523936753,0.2331701,0.22688092,-0.041247047,4509,0,0.29548594,0.24490696,-14.454381,4509,0
523941263,-0.30689013,-0.110667296,-0.011325287,4510,0,-0.021571802,0.03306399,-6.434272,4510,0
523945772,0.18345764,-0.11201814,0.0062157167,4509,0,-0.7382544,0.1527676,-11.491237,4509,0
523950282,0.0121612055,0.06675059,0.011040487,4510,0,-0.7557763,-0.9041426,-10.7087555,4510,0
523954792,-0.1411473,0.16909705,0.04284998,4510,0,-1.2406061,-0.8362412,-8.997066,4510,0
523959305,0.14987823,-0.10965304,0.034159333,4513,0,0.14779474,-0.8182384,-5.4059095,4513,0
523963810,-0.07122691,-0.11353749,-0.017042577,4505,0,0.28048357,-1.0401591,-13.092289,4505,0
523968320,0.06666146,0.19013676,-0.033291034,4510,0,0.3243629,0.11511755,-12.343386,4510,0
523972830,-0.22433032,-0.13457617,0.0033980606,4510,0,-0.19503026,0.02646175,-7.883813,4510,0
523977342,0.2805497,-0.07518297,-0.019333659,4512,0,-0.59324354,0.5218435,-11.5939045,4512,0
523981849,-0.15407711,0.0314829,-0.0016889609,4507,0,-0.67282087,-0.3710227,-10.17523,4507,0
523986358,-0.0076552783,0.21961328,0.01585153,4509,0,-1.0337389,-0.69118845,-8.534997,4509,0
523990875,0.16022205,-0.19940193,0.025270307,4517,0,0.4226946,-0.85565346,-4.680224,4517,0
523995394,-0.13802378,-0.09275173,-0.0113284765,4519,0,0.38043356,-1.2112535,-15.337475,4519,0
523999890,0.0865645,0.24792741,-0.047832076,4496,0,0.078573436,-0.96797967,-12.16237,4496,0
524008910,0.22215886,-0.08419813,0.0098512815,4513,0,-0.7138909,0.8551522,-13.013335,4513,0
524013419,-0.1578233,0.21946685,-0.0015333296,4509,0,-1.6511731,-0.1094726,-11.161459,4509,0
524017924,0.022293627,0.09408792,0.031894214,4505,0,-0.8304901,0.47176662,-4.4327564,4505,0
524022434,0.07901372,-0.33481634,0.053657476,4510,0,0.93972194,-0.47596958,-7.925828,4510,0
524026946,0.016667798,0.13371548,-0.025412718,4512,0,0.5759632,-1.3227199,-17.147696,4512,0
524031453,-0.13482152,0.14605694,-0.021933565,4507,0,0.4372106,-1.0249505,-8.213268,4507,0
524035962,0.05613745,-0.31386492,-0.011280807,4509,0,0.09672354,-0.8282566,-7.3033795,4509,0
524040472,0.102047965,0.045796845,-0.05323279,4510,0,-1.4348797,-0.86792326,-14.961093,4510,0
524044990,-0.18959914,0.3614601,0.0103117265,4518,0,-2.1878395,0.27776366,-9.056862,4518,0
524049491,0.16100673,-0.22539148,0.060683433,4501,0,-0.15481499,0.70599496,-1.2517006,4501,0
524054000,-0.0782907,-0.25885418,-0.019209161,4509,0,0.61267406,-0.72390926,-14.7589245,4509,0
524058510,0.11847733,0.37072864,-0.028616516,4510,0,0.8708183,0.55911684,-14.843582,4510,0
524063020,-0.2537893,-0.15077972,0.038538657,4510,0,0.95700055,-0.7122481,-4.0930815,4510,0
524067531,0.16653238,-0.2489797,-0.032865737,4511,0,-0.40354335,-1.382537,-12.949194,4511,0
524072038,0.038350303,0.30146208,-0.050460145,4507,0,-2.1030364,-1.4677517,-13.949606,4507,0
524076548,-0.16094267,0.1998602,0.04493668,4510,0,-1.5243465,0.016911656,-3.371594,4510,0
524081058,0.145577,-0.46155697,0.061693244,4510,0,0.069407195,-0.23269217,-5.5133157,4510,0
524085567,0.034053273,0.12064683,-0.067467585,4509,0,-0.012811208,-0.36238483,-19.357388,4509,0
524090077,-0.10688149,0.23829971,0.011594852,4510,0,1.1256379,1.3730434,-8.033099,4510,0
524094587,-0.11944998,-0.40247887,0.05477166,4510,0,0.801556,-0.35948402,-5.8084884,4510,0
524099103,0.22711879,0.062497232,-0.07035389,4516,0,-0.86920327,-1.4992656,-16.757269,4516,0
524103606,-0.1510023,0.42871693,-0.021074915,4503,0,-1.5840839,-0.9868134,-8.5543165,4503,0
524108115,-0.0032769165,-0.23906107,0.061445076,4509,0,-0.17681403,-0.606793,-0.35081634,4509,0
524112625,0.14352714,-0.27436736,-0.03746432,4510,0,-0.7792186,-1.7020676,-15.3249655,4510,0
524117134,0.044541236,0.41823375,-0.06087959,4509,0,-0.48466852,0.82493985,-16.245525,4509,0
524121644,-0.30649078,-0.2383044,0.09700021,4510,0,1.3565538,1.6819773,-2.4169922,4510,0
524126153,0.25023115,-0.29191142,-0.0067106206,4509,0,-0.008022787,-0.82386726,-13.945894,4509,0
524130663,-0.03410621,0.47877002,-0.07853703,4510,0,-1.1504325,-0.7258306,-14.294251,4510,0
524135173,-0.15422599,0.059671286,0.0987463,4510,0,0.07308902,0.49080178,0.5089458,4510,0
524139682,0.10341139,-0.47101182,-0.002682265,4509,0,-0.38590765,-3.4102042,-8.821302,4509,0
524144191,0.16557387,0.30503803,-0.119560085,4509,0,-1.1384852,-1.1081787,-20.035748,4509,0
524148701,-0.25926372,0.104451224,0.06820565,4510,0,0.28029788,1.5596751,-5.693893,4510,0
524153211,0.031004723,-0.4858401,0.07052951,4510,0,0.28158724,0.32394123,-8.474114,4510,0
524157720,0.19474937,0.27812633,-0.10904775,4509,0,-1.0151553,-0.7202026,-17.855783,4509,0
524162244,-0.25077403,0.3438684,0.04611229,4524,0,0.024995109,1.6784436,-2.9023972,4524,0
524166739,0.10748472,-0.4870486,0.09871375,4495,0,0.5357317,-1.3053908,-1.8580987,4495,0
524171249,0.0508648,0.026410155,-0.13236709,4510,0,-0.69178,-3.438603,-20.159174,4510,0
524175758,0.05755336,0.41051424,-0.04218335,4509,0,-0.35136157,0.24035388,-11.398004,4509,0
524180268,-0.25814265,-0.4892224,0.10657601,4510,0,-0.075333595,0.5835576,-3.4214096,4510,0
524184778,0.23686899,0.007250512,-0.03486939,4510,0,-1.5405275,-0.5926467,-18.87032,4510,0
524189287,-0.04477979,0.5160549,-0.03104195,4509,0,-0.67235607,0.9605695,-7.6461663,4509,0
524193797,-0.1492902,-0.36230505,0.15037826,4510,0,1.2175969,1.4742053,1.6436206,4510,0
524198307,0.11597416,-0.19179717,-0.045675397,4510,0,0.21596487,-3.5473669,-16.620632,4510,0
524202816,0.10033656,0.4040207,-0.13701981,4509,0,-0.038343508,-1.6260717,-15.25214,4509,0
524207325,-0.24194533,-0.23759983,0.07187068,4509,0,0.13762452,0.388397,-3.9357345,4509,0
524211835,0.0712877,-0.21822721,0.014838356,4510,0,-1.7161682,-0.98628736,-15.149254,4510,0
524216350,0.19128016,0.49740165,-0.08987678,4515,0,-2.154167,0.31675097,-13.218959,4515,0
524220854,-0.28688586,-0.14076865,0.11490866,4504,0,0.8062258,2.7436078,2.589435,4504,0
524225364,0.12687829,-0.40257877,0.0680235,4510,0,0.8944715,-1.5263753,-11.735292,4510,0
524229873,0.18953645,0.40742186,-0.18752183,4509,0,0.1031917,-3.025876,-18.169079,4509,0
524234389,-0.3221516,-0.09096333,0.017560586,4516,0,1.2913368,0.58574885,-4.3464594,4516,0
524238893,0.07549899,-0.32945597,0.0555675,4504,0,-1.3823984,-1.8960801,-13.322371,4504,0
524243402,0.18393509,0.4699019,-0.11969611,4509,0,-2.9615717,-0.46839407,-15.5583515,4509,0
524247911,-0.18804315,-7.780362e-05,0.10067828,4509,0,-0.31318256,3.423631,1.9891304,4509,0
524252421,-0.023680208,-0.47685483,0.14152384,4510,0,0.9278231,-0.23382178,-9.251746,4510,0
524256931,0.3249,0.33192927,-0.15698478,4510,0,0.5167769,-2.8798885,-18.467995,4510,0
524261440,-0.38764876,0.00733283,-0.028490394,4509,0,1.6758012,0.102210775,-4.963149,4509,0
524265950,0.057220325,-0.3579568,0.08446096,4510,0,-0.4904543,-1.9579514,-12.264424,4510,0
524270460,0.20128104,0.42764196,-0.14998989,4510,0,-3.237134,-2.1850376,-16.955034,4510,0
524274972,-0.16040157,0.0801171,0.058084223,4512,0,-1.2770392,3.8984888,0.809146,4512,0
524279479,-0.05067265,-0.4704164,0.17799075,4507,0,0.490885,0.95555174,-7.2441688,4507,0
524283988,0.3052673,0.26424107,-0.1290606,4509,0,0.72527474,-2.599776,-18.739231,4509,0
524288498,-0.25562492,0.038265567,-0.07094795,4510,0,1.9050045,-0.06707135,-5.7966213,4510,0
524293007,-0.11472003,-0.36204487,0.09235535,4509,0,0.26950505,-1.876917,-10.791532,4509,0
524297517,0.26389894,0.35845,-0.12504095,4510,0,-2.7470968,-3.168038,-17.631128,4510,0
524302026,-0.07053686,0.17753002,-0.018317435,4509,0,-1.8599381,2.837067,-1.1666408,4509,0
524306538,-0.20252708,-0.5109844,0.18717214,4512,0,-0.05232986,2.4076788,-4.798174,4512,0
524311045,0.414841,0.22427656,-0.06151752,4507,0,0.029196879,-1.6995732,-19.866993,4507,0
524315555,-0.20878215,0.12944879,-0.097533174,4510,0,1.8572809,-0.40050024,-5.5310225,4510,0
524320064,-0.28785917,-0.46414497,0.120786734,4509,0,1.1660382,-1.1695317,-9.513647,4509,0
524324575,0.3758405,0.37545264,-0.11298155,4511,0,-2.0999053,-4.3981028,-19.12478,4511,0
524329084,-0.100057356,0.24824134,-0.076619044,4509,0,-1.7093949,1.4793549,-1.3277769,4509,0
524333593,-0.23105115,-0.5032488,0.19300613,4509,0,-0.46810853,3.0222187,-3.7607584,4509,0
