timestamp,timestamp_sample,hover_thrust,hover_thrust_var,accel_innov,accel_innov_var,accel_innov_test_ratio,accel_noise_var,valid
541918207,541918179,0.5274543,6.387828e-05,0.47995895,40.353207,0.00063428964,40.063007,1
542016724,542016697,0.5281166,6.3528765e-05,2.7990918,39.60112,0.021982865,39.467037,1
542116289,542116262,0.5283631,6.317481e-05,-6.484081,38.17491,0.12237037,38.120655,1
542215370,542215342,0.5283657,6.282622e-05,12.927125,39.805458,0.4664647,40.47491,1
542314316,542314288,0.5283724,6.250267e-05,-0.30928427,40.31565,0.00026363283,40.18909,1
542418028,542417997,0.5285751,6.217856e-05,-1.3568183,40.520134,0.005048124,40.29435,1
542518462,542518434,0.52905107,6.1845465e-05,-8.836187,39.486202,0.21970603,39.639206,1
542616491,542616463,0.5294737,6.1508435e-05,-7.6602693,40.507565,0.16095683,40.50675,1
542718702,542718674,0.5297776,6.1165156e-05,5.5899096,39.93659,0.08693529,39.926624,1
542814856,542814822,0.5297671,6.081415e-05,0.6791017,38.55169,0.0013291797,38.418884,1
542915221,542915194,0.5295718,6.0465434e-05,0.4540391,38.19945,0.00059963483,38.046413,1
543017914,543017887,0.53021,6.0118928e-05,-9.285676,37.00545,0.25889212,37.216305,1
543117764,543117736,0.52972436,5.9789523e-05,9.503281,39.678493,0.25290033,39.960743,1
543219196,543219168,0.52905077,5.9500842e-05,13.602202,41.8795,0.490879,43.06295,1
543318941,543318914,0.5294925,5.92301e-05,8.213747,43.576694,0.17202273,43.72674,1
543414598,543414570,0.52912146,5.8968766e-05,11.053597,44.20555,0.30710575,44.420513,1
543514599,543514571,0.5290146,5.8719903e-05,0.18344855,44.435272,8.415079e-05,44.262867,1
543617571,543617529,0.52956927,5.8470254e-05,-8.145645,43.230686,0.1705361,43.338,1
543719623,543719595,0.52942985,5.822464e-05,1.199589,42.726868,0.003742152,42.489086,1
543818974,543818944,0.52897924,5.7974754e-05,5.0209312,41.083714,0.0681799,40.97265,1
543915324,543915296,0.5296217,5.7723384e-05,-8.385261,40.530502,0.19275631,40.581127,1
544014421,544014393,0.5296265,5.7478534e-05,4.0552244,39.738537,0.045980684,39.658764,1
544118319,544118287,0.5296329,5.723296e-05,-12.115355,40.81836,0.39955282,41.19708,1
544220159,544220129,0.52943325,5.699523e-05,8.640682,42.996094,0.19294102,43.244816,1
544319500,544319469,0.53002536,5.6761135e-05,-9.718368,42.790455,0.24524334,43.013317,1
544418836,544418806,0.5301227,5.6515357e-05,1.7684381,41.900776,0.008293066,41.653362,1
544515913,544515729,0.53050995,5.6212175e-05,9.311625,41.425957,0.23256044,41.582268,1
544618641,544618614,0.5302699,5.5928078e-05,-3.670427,41.008045,0.036502417,40.79252,1
544718936,544718909,0.53027,5.5683795e-05,2.6583335,40.911667,0.019192398,40.661728,1
544820149,544820121,0.5300002,5.545632e-05,4.4158764,41.89926,0.051711235,41.704308,1
544919071,544919044,0.5300829,5.5233915e-05,6.784215,41.10482,0.12441248,41.123928,1
545015555,545015526,0.53063023,5.501412e-05,-7.668835,42.30168,0.15447515,42.319695,1
545115738,545115711,0.5304996,5.480216e-05,2.5590596,43.11042,0.016878586,42.967354,1
545213912,545213882,0.5300808,5.459319e-05,7.3446054,43.26952,0.13851996,43.302505,1
545321726,545321672,0.52989113,5.4383698e-05,9.601722,44.839737,0.2284508,45.202454,1
545419734,545419707,0.5303202,5.4172862e-05,-8.278905,44.344627,0.17173636,44.47142,1
545519614,545519587,0.5303168,5.3955137e-05,0.014899924,43.691086,5.6458947e-07,43.398884,1
545615306,545615278,0.5297943,5.3733896e-05,8.9317,43.372917,0.20436527,43.45181,1
545714503,545714476,0.52971554,5.3518193e-05,-4.587349,45.581444,0.051297117,45.503704,1
545813681,545813654,0.5295315,5.331738e-05,4.399839,45.31615,0.0474655,45.17324,1
545920513,545920485,0.52937955,5.31252e-05,5.91387,44.91164,0.0865251,44.818108,1
546019388,546019354,0.52952814,5.293127e-05,9.024188,45.599194,0.19843423,45.76863,1
546115839,546115812,0.52987057,5.2740157e-05,-5.891957,46.366932,0.08318945,46.319622,1
546215283,546215253,0.5295389,5.2552925e-05,-3.982203,46.230156,0.03811351,46.12029,1
546314274,546314238,0.5296024,5.2364743e-05,-10.137699,45.799076,0.24933289,46.01687,1
546420923,546420870,0.52984124,5.2182135e-05,13.638057,47.08102,0.43895158,47.884014,1
546520134,546520104,0.52986723,5.199845e-05,0.28493264,46.95207,0.00019212645,46.68487,1
546619183,546619156,0.52983797,5.1804127e-05,10.5054455,45.681442,0.26843962,46.04075,1
546715800,546715770,0.52998555,5.161311e-05,-11.938135,48.130863,0.32900828,48.341393,1
546814949,546814921,0.5295054,5.142731e-05,1.1005232,47.71364,0.0028204175,47.54732,1
546914061,546914034,0.5296019,5.1246523e-05,-6.2108297,50.511982,0.08485205,50.44916,1
547020655,547020627,0.529636,5.1074843e-05,-3.7101648,49.017887,0.031202493,48.715622,1
547119946,547119916,0.52946854,5.0892668e-05,2.1787267,46.783356,0.011273834,46.534336,1
547216177,547216142,0.529495,5.070058e-05,-7.2583265,45.54433,0.12852752,45.55347,1
547315390,547315356,0.5294018,5.0508683e-05,15.49033,45.627693,0.5843194,46.08499,1
547414659,547414631,0.52891195,5.0327417e-05,3.7226613,46.408627,0.033179194,46.234776,1
547516648,547516621,0.5284674,5.0156483e-05,15.325715,49.124462,0.53125274,50.011948,1
547617862,547617786,0.5281,4.999651e-05,8.411399,48.766422,0.16120298,48.827137,1
547716720,547716683,0.52876425,4.9836177e-05,-6.085475,50.41651,0.08161569,50.35741,1
547815909,547815881,0.5287361,4.968065e-05,13.23055,49.713478,0.3912363,50.22422,1
547915833,547915803,0.52940327,4.9528324e-05,4.2437716,51.420975,0.038915373,51.259815,1
548014599,548014571,0.529054,4.9380422e-05,4.914963,50.819134,0.052816633,50.682552,1
548119420,548119392,0.52941024,4.923174e-05,-13.748842,51.283115,0.40955797,52.23008,1
548217437,548217409,0.52959955,4.9087328e-05,-1.200199,53.139458,0.003011944,52.767345,1
548316588,548316560,0.5300953,4.8943548e-05,-2.4369655,52.38808,0.012595742,52.18212,1
548415649,548415621,0.5299284,4.8800877e-05,-8.350227,52.81065,0.14670083,52.831356,1
548515094,548515064,0.52985924,4.8657366e-05,1.6977959,53.87423,0.0059449384,53.657127,1
548618843,548618812,0.53007007,4.8511847e-05,-4.637937,52.79766,0.045268126,52.53613,1
548719140,548719085,0.529906,4.8359416e-05,8.824775,50.986053,0.1697123,51.21169,1
548817010,548816982,0.5301408,4.8204147e-05,-7.5671577,50.53821,0.12589346,50.52141,1
548916379,548916345,0.5299395,4.8051428e-05,2.5742772,51.079163,0.014415322,50.895145,1
549015555,549015526,0.529996,4.7899524e-05,-10.857173,50.77453,0.25795567,51.03359,1
549115818,549115791,0.5299998,4.7751684e-05,-4.5321,49.533676,0.046074,49.360905,1
549214131,549214104,0.53014874,4.7606158e-05,-8.711476,51.531128,0.16363317,51.60086,1
549318658,549318628,0.5306774,4.746609e-05,-12.441313,50.94968,0.33755806,51.545437,1
549416893,549416864,0.53082013,4.7327594e-05,-9.0090475,50.3265,0.17919195,50.393982,1
