timestamp,timestamp_sample,control[0],control[1],control[2],control[3],control[4],control[5],control[6],control[7]
542046135,542045561,-0.030399607,0.0555656,-0.011749704,0.57863295,0.0,0.0,0.0,-1.0
542095739,542095173,0.0016967687,0.07737871,-0.017277692,0.5983279,0.0,0.0,0.0,-1.0
542148351,542147776,-0.0039021543,-0.027027102,-0.01386135,0.58674514,0.0,0.0,0.0,-1.0
542196451,542195878,-0.10600939,-0.027812818,-0.0109457895,0.5988307,0.0,0.0,0.0,-1.0
542246052,542245483,-0.027440887,0.051877532,-0.007384444,0.582721,0.0,0.0,0.0,-1.0
542295658,542295087,0.06384419,0.04373872,-0.008713146,0.58589137,0.0,0.0,0.0,-1.0
542348276,542347698,-0.038667224,0.019349538,-0.0062367697,0.5828226,0.0,0.0,0.0,-1.0
542396368,542395800,-0.0037130965,0.07259191,-0.00758306,0.58953536,0.0,0.0,0.0,-1.0
542447474,542446908,0.01751328,0.022353899,-0.012865227,0.58832127,0.0,0.0,0.0,-1.0
542497088,542496512,0.00989306,0.04620962,-0.017976157,0.5866055,0.0,0.0,0.0,-1.0
542546683,542546117,-0.058543053,-0.014449264,-0.023253419,0.57909995,0.0,0.0,0.0,-1.0
542596295,542595721,0.05389516,0.04753769,-0.028799,0.5865412,0.0,0.0,0.0,-1.0
542650408,542649836,-0.04980572,0.017209502,-0.028248407,0.5739914,0.0,0.0,0.0,-1.0
542697004,542696434,-0.022808364,0.019664736,-0.026011134,0.57351124,0.0,0.0,0.0,-1.0
542746607,542746039,0.08152347,0.0196942,-0.016709926,0.5728092,0.0,0.0,0.0,-1.0
542797716,542797147,0.13086501,-0.015991569,-0.021289902,0.56696105,0.0,0.0,0.0,-1.0
542848836,542848265,-0.017545016,-0.003681135,-0.027717926,0.5655474,0.0,0.0,0.0,-1.0
542896937,542896356,0.06780988,0.07082954,-0.025888909,0.5567213,0.0,0.0,0.0,-1.0
542946530,542945963,0.029208759,0.055369336,-0.02740104,0.556194,0.0,0.0,0.0,-1.0
542997645,542997069,0.012709694,0.10507907,-0.025862044,0.54904246,0.0,0.0,0.0,-1.0
543047239,543046673,0.13486516,0.068126276,-0.025092436,0.5419082,0.0,0.0,0.0,-1.0
543096851,543096278,0.12999858,-0.008969133,-0.024141937,0.5379369,0.0,0.0,0.0,-1.0
543146458,543145883,0.06511596,-0.005401214,-0.024160635,0.5378506,0.0,0.0,0.0,-1.0
543196054,543195487,-0.0038139413,-0.0013787671,-0.030253533,0.54607934,0.0,0.0,0.0,-1.0
543247172,543246605,0.085520424,0.036862765,-0.03233838,0.5497427,0.0,0.0,0.0,-1.0
543298290,543297703,0.09189331,0.029485945,-0.030587198,0.5418435,0.0,0.0,0.0,-1.0
543347878,543347308,0.0503234,0.02517816,-0.027477873,0.5450295,0.0,0.0,0.0,-1.0
543397480,543396912,0.024809834,0.060044132,-0.029333482,0.5438056,0.0,0.0,0.0,-1.0
543447096,543446517,0.1268562,0.118321575,-0.030634126,0.5433657,0.0,0.0,0.0,-1.0
543495185,543494619,0.12489839,0.064006545,-0.0330686,0.5472992,0.0,0.0,0.0,-1.0
543547795,543547229,0.06810077,0.068914145,-0.028741023,0.5510872,0.0,0.0,0.0,-1.0
543597406,543596834,0.13041651,0.04373834,-0.027945472,0.5498485,0.0,0.0,0.0,-1.0
543647005,543646439,0.17728166,0.04320995,-0.032653518,0.5505482,0.0,0.0,0.0,-1.0
543698124,543697556,-0.021703979,0.019381497,-0.030158205,0.55677825,0.0,0.0,0.0,-1.0
543747718,543747151,0.06231125,0.026793404,-0.023466371,0.5688371,0.0,0.0,0.0,-1.0
543797338,543796756,-0.0019437835,-0.010597898,-0.022498678,0.5776806,0.0,0.0,0.0,-1.0
543845441,543844858,-0.04504409,-0.009063779,-0.016625261,0.5866613,0.0,0.0,0.0,-1.0
543898037,543897468,0.1672514,0.07219614,-0.015985372,0.5802948,0.0,0.0,0.0,-1.0
543947657,543947073,0.10282584,0.008556335,-0.019460287,0.56460893,0.0,0.0,0.0,-1.0
543995742,543995174,0.05687148,0.009178367,-0.016049422,0.5630176,0.0,0.0,0.0,-1.0
544045346,544044779,0.033241007,-0.027724756,-0.016967451,0.5575684,0.0,0.0,0.0,-1.0
544097967,544097401,-0.012081891,0.09642814,-0.016196042,0.55839556,0.0,0.0,0.0,-1.0
544147576,544146995,0.073369235,0.05314356,-0.016505813,0.5542431,0.0,0.0,0.0,-1.0
544198681,544198103,-1.5853955e-05,-0.008828675,-0.015424928,0.55932957,0.0,0.0,0.0,-1.0
544246773,544246204,0.02737229,0.024110226,-0.0152314305,0.56790966,0.0,0.0,0.0,-1.0
544296391,544295813,0.029457299,0.07719558,-0.01720547,0.5656875,0.0,0.0,0.0,-1.0
544345987,544345414,0.008378644,0.039430168,-0.0205871,0.5589897,0.0,0.0,0.0,-1.0
544398596,544398024,-0.030611947,0.028074061,-0.016319135,0.58154845,0.0,0.0,0.0,-1.0
544448201,544447629,0.0061256466,0.0112821935,-0.01686312,0.60201603,0.0,0.0,0.0,-1.0
544496308,544495731,-0.067976564,0.014377176,-0.02229584,0.6241752,0.0,0.0,0.0,-1.0
544545905,544545335,0.020764343,0.068896875,-0.020791506,0.5876821,0.0,0.0,0.0,-1.0
544598513,544597946,-0.060392063,0.025577543,-0.023392783,0.5681791,0.0,0.0,0.0,-1.0
544648128,544647561,-0.109013714,0.036447026,-0.02057446,0.5274026,0.0,0.0,0.0,-1.0
544697729,544697156,-0.09980314,0.019004514,-0.019995142,0.52719176,0.0,0.0,0.0,-1.0
544747329,544746760,-0.046299558,0.04775757,-0.0156233,0.5122296,0.0,0.0,0.0,-1.0
544796938,544796365,-0.0927734,0.0027400749,-0.015667992,0.5103732,0.0,0.0,0.0,-1.0
544846544,544845969,0.035584617,0.10260075,-0.023086801,0.51127636,0.0,0.0,0.0,-1.0
