timestamp,voltage_v,voltage_filtered_v,current_a,current_filtered_a,current_average_a,discharged_mah,remaining,scale,temperature,cell_count,voltage_cell_v[0],voltage_cell_v[1],voltage_cell_v[2],voltage_cell_v[3],voltage_cell_v[4],voltage_cell_v[5],voltage_cell_v[6],voltage_cell_v[7],voltage_cell_v[8],voltage_cell_v[9],voltage_cell_v[10],voltage_cell_v[11],voltage_cell_v[12],voltage_cell_v[13],max_cell_voltage_delta,average_power,available_energy,remaining_capacity,design_capacity,nominal_voltage,capacity,cycle_count,run_time_to_empty,average_time_to_empty,serial_number,manufacture_date,state_of_health,max_error,interface_error,average_time_to_full,over_discharge_count,connected,source,priority,id,is_powering_off,warning
539047675,9.8974,9.871372,12.4744005,12.141822,-1.0,493.56567,0.0,1.1571429,nan,3,3.2904575,3.2904575,3.2904575,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,3
539248880,9.8564,9.865663,12.697599,12.316503,-1.0,494.27023,0.0,1.1571429,nan,3,3.2885542,3.2885542,3.2885542,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,3
539437855,9.7498,9.843737,14.0492,12.755975,-1.0,494.98886,0.0,1.1571429,nan,3,3.2812455,3.2812455,3.2812455,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,3
539647665,9.454599,9.824507,13.342401,13.192842,-1.0,495.8079,0.0,1.1571429,nan,3,3.2748356,3.2748356,3.2748356,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,3
539848768,9.471,9.822091,13.392,13.377831,-1.0,496.57703,0.0,1.1571429,nan,3,3.2740304,3.2740304,3.2740304,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,3
540037785,10.3894005,9.818411,12.4248,13.119192,-1.0,497.23752,0.0,1.1571429,nan,3,3.2728035,3.2728035,3.2728035,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,3
540247661,9.7416,9.821551,12.0032,12.697057,-1.0,497.92953,0.0,1.1571429,nan,3,3.2738504,3.2738504,3.2738504,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,3
540448139,9.8317995,9.814053,13.429199,12.893306,-1.0,498.667,0.0,1.1571429,nan,3,3.2713509,3.2713509,3.2713509,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,3
540637939,10.1352005,9.795654,13.0696,13.022837,-1.0,499.36874,0.0,1.1571429,nan,3,3.265218,3.265218,3.265218,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,3
540837813,9.594,9.779369,13.9376,13.284741,-1.0,500.1351,0.0,1.1571429,nan,3,3.2597897,3.2597897,3.2597897,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,3
