timestamp,timestamp_last_signal,rssi,rc_lost_frame_count,rc_total_frame_count,rc_ppm_frame_length,values[0],values[1],values[2],values[3],values[4],values[5],values[6],values[7],values[8],values[9],values[10],values[11],values[12],values[13],values[14],values[15],values[16],values[17],channel_count,rc_failsafe,rc_lost,input_source
547738506,547738506,41,0,0,20001,1503,1500,1544,1501,1000,1000,2000,1000,0,0,0,0,0,0,0,0,0,0,8,0,0,2
548234554,548234554,41,0,0,20000,1503,1500,1544,1501,1000,1000,2001,1000,0,0,0,0,0,0,0,0,0,0,8,0,0,2
548732497,548732497,41,0,0,20001,1503,1500,1544,1501,1000,1000,2000,1000,0,0,0,0,0,0,0,0,0,0,8,0,0,2
549244718,549244718,41,0,0,20001,1503,1500,1545,1501,1000,1000,1500,1000,0,0,0,0,0,0,0,0,0,0,8,0,0,2
549742494,549742494,41,0,0,20001,1503,1500,1544,1501,1000,1000,1500,1000,0,0,0,0,0,0,0,0,0,0,8,0,0,2
550243049,550243049,41,0,0,20001,1504,1500,1544,1501,1000,1000,2000,1000,0,0,0,0,0,0,0,0,0,0,8,0,0,2
550741872,550741872,41,0,0,20001,1503,1500,1544,1501,1000,1000,2000,1000,0,0,0,0,0,0,0,0,0,0,8,0,0,2
551239654,551239654,41,0,0,20001,1503,1500,1544,1501,1000,1000,2000,1000,0,0,0,0,0,0,0,0,0,0,8,0,0,2
551736728,551736728,41,0,0,20001,1503,1500,1545,1501,1000,1000,2001,1000,0,0,0,0,0,0,0,0,0,0,8,0,0,2
552237707,552237707,41,0,0,20000,1503,1500,1545,1501,1000,1000,2000,1000,0,0,0,0,0,0,0,0,0,0,8,0,0,2
552733758,552733758,41,0,0,20001,1503,1500,1544,1502,1000,1000,2000,1000,0,0,0,0,0,0,0,0,0,0,8,0,0,2
553232906,553232906,41,0,0,20001,1503,1500,1544,1501,1000,1000,2000,1000,0,0,0,0,0,0,0,0,0,0,8,0,0,2
553729959,553729959,41,0,0,20000,1504,1500,1545,1501,1000,1000,2000,1000,0,0,0,0,0,0,0,0,0,0,8,0,0,2
554229558,554229558,41,0,0,20001,1503,1500,1545,1501,1000,1000,2000,1000,0,0,0,0,0,0,0,0,0,0,8,0,0,2
554730025,554730025,41,0,0,20000,1503,1500,1544,1501,1000,1000,2000,1000,0,0,0,0,0,0,0,0,0,0,8,0,0,2
555227496,555227496,41,0,0,20001,1503,1500,1544,1502,1000,1000,2000,1000,0,0,0,0,0,0,0,0,0,0,8,0,0,2
555728051,555728051,41,0,0,20001,1503,1500,1545,1501,1000,1000,2000,1000,0,0,0,0,0,0,0,0,0,0,8,0,0,2
556230401,556230401,41,0,0,20001,1504,1500,1544,1501,1000,1000,2000,1000,0,0,0,0,0,0,0,0,0,0,8,0,0,2
556732322,556732322,41,0,0,20001,1503,1500,1544,1501,1000,1000,2000,1000,0,0,0,0,0,0,0,0,0,0,8,0,0,2
