timestamp,timestamp_sample,gyro_device_id,gyro_bias[0],gyro_bias[1],gyro_bias[2],gyro_bias_limit,gyro_bias_variance[0],gyro_bias_variance[1],gyro_bias_variance[2],accel_device_id,accel_bias[0],accel_bias[1],accel_bias[2],accel_bias_limit,accel_bias_variance[0],accel_bias_variance[1],accel_bias_variance[2],mag_device_id,mag_bias[0],mag_bias[1],mag_bias[2],mag_bias_limit,mag_bias_variance[0],mag_bias_variance[1],mag_bias_variance[2],gyro_bias_valid,accel_bias_valid,mag_bias_valid
534505332,534502627,2162698,-0.0011499154,-0.004102896,-0.00084012246,0.34906584,2.2868392e-09,2.2878637e-09,3.7939265e-09,2162698,0.053496502,0.016258728,-0.13662447,0.4,5.000861e-06,5.000861e-06,5.000861e-06,73225,0.0,0.0,0.0,0.5,0.0,0.0,0.0,1,1,0
534915393,534912993,2162698,-0.0011500026,-0.00410845,-0.0008410658,0.34906584,2.3230378e-09,2.3240296e-09,3.8324313e-09,2162698,0.054230664,0.01638358,-0.13774696,0.4,4.9988953e-06,4.9988953e-06,4.9988953e-06,73225,0.0,0.0,0.0,0.5,0.0,0.0,0.0,1,1,0
535308386,535305322,2162698,-0.0011485612,-0.0041216398,-0.0008447535,0.34906584,2.3625903e-09,2.363541e-09,3.878771e-09,2162698,0.054651633,0.01690984,-0.13862106,0.4,5.009974e-06,5.009974e-06,5.009974e-06,73225,0.0,0.0,0.0,0.5,0.0,0.0,0.0,1,1,0
535506204,535503742,2162698,-0.0011446855,-0.0041132546,-0.00084288174,0.34906584,2.3728537e-09,2.3737758e-09,3.8865444e-09,2162698,0.05483351,0.016888237,-0.13734677,0.4,4.995078e-06,4.995078e-06,4.995078e-06,73225,0.0,0.0,0.0,0.5,0.0,0.0,0.0,1,1,0
535907771,535905098,2162698,-0.0011339064,-0.004132165,-0.0008492934,0.34906584,2.414347e-09,2.415225e-09,3.9373633e-09,2162698,0.055409316,0.017893953,-0.13651572,0.4,5.0110602e-06,5.0110602e-06,5.0110602e-06,73225,0.0,0.0,0.0,0.5,0.0,0.0,0.0,1,1,0
536115302,536112529,2162698,-0.0011224728,-0.0041052666,-0.0008471626,0.34906584,2.4269027e-09,2.4277766e-09,3.9498156e-09,2162698,0.054235935,0.01824566,-0.13692546,0.4,5.001517e-06,5.001517e-06,5.001517e-06,73225,0.0,0.0,0.0,0.5,0.0,0.0,0.0,1,1,0
536547108,536545446,2162698,-0.0010999555,-0.0041129002,-0.00085321267,0.34906584,2.4647326e-09,2.4656623e-09,3.9971466e-09,2162698,0.054413915,0.019154543,-0.13734017,0.4,5.0098697e-06,5.009869e-06,5.00987e-06,73225,0.0,0.0,0.0,0.5,0.0,0.0,0.0,1,1,0
536926041,536924244,2162698,-0.0011172973,-0.0041001546,-0.00085044536,0.34906584,2.48266e-09,2.483615e-09,4.0193746e-09,2162698,0.05440287,0.018225918,-0.1365527,0.4,4.9930286e-06,4.993028e-06,4.993029e-06,73225,0.0,0.0,0.0,0.5,0.0,0.0,0.0,1,1,0
537277537,537275987,2162698,-0.0011145017,-0.004097266,-0.0008500345,0.34906584,2.5064066e-09,2.5073645e-09,4.0450994e-09,2162698,0.054486483,0.01811558,-0.13550624,0.4,4.9845403e-06,4.984547e-06,4.9844366e-06,73225,0.0,0.0,0.0,0.5,0.0,0.0,0.0,1,1,0
537707002,537704393,2162698,-0.0011143419,-0.0040980866,-0.00085340306,0.34906584,2.5278415e-09,2.5288134e-09,4.091224e-09,2162698,0.054699298,0.017845625,-0.13411987,0.4,4.9925084e-06,4.9925084e-06,4.9925084e-06,73225,0.0,0.0,0.0,0.5,0.0,0.0,0.0,1,1,0
